episode,reward,length,key_picked,door_opened,goal_reached
212,-0.74,50,False,False,False
213,1.86,16,True,True,True
214,2.02,8,True,True,True
215,1.78,17,True,True,True
216,2.06,7,True,True,True
217,2.06,7,True,True,True
218,0.74,50,True,True,False
219,2.02,9,True,True,True
220,2.0,10,True,True,True
221,2.02,9,True,True,True
222,2.02,9,True,True,True
223,1.84,17,True,True,True
224,0.9,50,True,True,False
225,2.02,8,True,True,True
226,0.88,50,True,True,False
227,2.04,8,True,True,True
228,2.0,9,True,True,True
229,1.88,13,True,True,True
230,2.02,9,True,True,True
231,2.02,9,True,True,True
232,2.02,8,True,True,True
233,2.0,9,True,True,True
234,0.32,50,True,True,False
235,0.74,50,True,True,False
236,1.84,17,True,True,True
237,2.0,10,True,True,True
238,2.04,8,True,True,True
239,2.02,8,True,True,True
240,0.5,50,True,True,False
241,1.98,9,True,True,True
242,0.9,50,True,True,False
243,1.36,27,True,True,True
244,1.68,23,True,True,True
245,1.54,33,True,True,True
246,2.02,8,True,True,True
247,0.74,50,True,True,False
248,2.02,8,True,True,True
249,1.82,17,True,True,True
250,2.02,8,True,True,True
251,1.2,41,True,True,True
252,2.06,7,True,True,True
253,1.94,10,True,True,True
254,1.88,13,True,True,True
255,-0.7,50,False,False,False
256,0.46,50,True,True,False
257,1.78,16,True,True,True
258,2.0,9,True,True,True
259,1.96,10,True,True,True
260,1.82,14,True,True,True
261,2.02,8,True,True,True
262,0.14,50,True,False,False
263,0.98,39,True,True,True
264,0.98,46,True,True,True
265,1.86,15,True,True,True
266,-0.72,50,False,False,False
267,1.66,24,True,True,True
268,1.92,13,True,True,True
269,1.94,11,True,True,True
270,1.86,13,True,True,True
271,1.38,33,True,True,True
272,2.06,7,True,True,True
273,1.88,14,True,True,True
274,2.02,9,True,True,True
275,0.84,50,True,True,False
276,2.02,8,True,True,True
277,2.06,7,True,True,True
278,0.82,50,True,True,False
279,1.88,15,True,True,True
280,0.12,50,True,False,False
281,2.04,8,True,True,True
282,2.06,7,True,True,True
283,0.9,50,True,True,False
284,2.0,9,True,True,True
285,0.72,50,True,True,True
286,2.02,8,True,True,True
287,1.06,46,True,True,True
288,2.06,7,True,True,True
289,1.98,9,True,True,True
290,1.86,14,True,True,True
291,1.98,10,True,True,True
292,1.98,10,True,True,True
293,1.98,10,True,True,True
294,2.06,7,True,True,True
295,1.98,10,True,True,True
296,1.72,21,True,True,True
297,0.76,50,True,True,False
298,2.02,9,True,True,True
299,1.98,10,True,True,True
300,2.06,7,True,True,True
301,2.06,7,True,True,True
302,2.06,7,True,True,True
303,2.02,8,True,True,True
304,1.74,21,True,True,True
305,1.96,10,True,True,True
306,1.98,10,True,True,True
307,1.38,36,True,True,True
308,0.3,50,True,False,False
309,0.76,50,True,True,False
310,2.06,7,True,True,True
311,1.82,14,True,True,True
312,1.84,15,True,True,True
313,1.94,12,True,True,True
314,1.28,32,True,True,True
315,1.1,48,True,True,True
316,1.98,9,True,True,True
317,1.84,17,True,True,True
318,1.3,35,True,True,True
319,1.62,20,True,True,True
320,1.96,10,True,True,True
321,2.02,8,True,True,True
322,2.02,9,True,True,True
323,2.06,7,True,True,True
324,-0.18,50,True,False,False
325,1.98,11,True,True,True
326,1.46,32,True,True,True
327,0.42,50,True,False,False
328,0.2,50,True,False,False
329,0.32,50,True,False,False
330,1.96,11,True,True,True
331,1.98,10,True,True,True
332,2.02,8,True,True,True
333,2.02,9,True,True,True
334,2.02,9,True,True,True
335,-0.74,50,False,False,False
336,1.98,10,True,True,True
337,1.64,21,True,True,True
338,2.06,7,True,True,True
339,1.98,10,True,True,True
340,2.0,9,True,True,True
341,1.02,46,True,True,True
342,1.9,14,True,True,True
343,2.0,9,True,True,True
344,0.04,50,True,False,False
345,2.02,8,True,True,True
346,1.94,11,True,True,True
347,1.98,9,True,True,True
348,1.9,13,True,True,True
349,1.48,23,True,True,True
350,2.06,7,True,True,True
351,1.7,22,True,True,True
352,1.94,10,True,True,True
353,1.5,23,True,True,True
354,-0.72,50,False,False,False
355,1.9,11,True,True,True
356,2.02,8,True,True,True
357,1.62,19,True,True,True
358,1.92,12,True,True,True
359,1.98,10,True,True,True
360,1.84,18,True,True,True
361,1.44,24,True,True,True
362,1.98,10,True,True,True
363,2.06,7,True,True,True
364,1.96,11,True,True,True
365,1.26,29,True,True,True
366,1.86,15,True,True,True
367,2.02,9,True,True,True
368,-0.76,50,False,False,False
369,1.98,10,True,True,True
370,-0.86,50,False,False,False
371,1.92,13,True,True,True
372,1.48,24,True,True,True
373,1.92,13,True,True,True
374,1.64,23,True,True,True
375,2.02,8,True,True,True
376,1.4,37,True,True,True
